File,Line,Confidence,Reason,HasWidthHeight,Src,ImgOpenTag,Notes
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1082,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1107,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1122,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1129,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1163,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1178,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1185,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1492,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1844,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1904,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,2008,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,2104,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,2287,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839,"<img class=""mob-past-deliv-testim-thumb"" src=""/assets/past-deliveries/testimonials/testimonial.png?v=20250907-192839"" alt=""View Testimonial"">",no width/height
